"","year_start","month_start","year_end","month_end","permno","n_obs","R2_long","R2_short","tau_pi_R"
"1",1987,6,2006,6,10001,20,0.666502060304103,0.66443404985542,0.00616275414055463
"2",1988,6,2007,6,10001,20,0.626052098136104,0.624592435186787,0.00388820867273568
"3",1987,10,2006,10,10025,20,0.122181225126925,0.0260069348628723,0.0987422741562463
"4",1988,10,2007,10,10025,20,0.163691486727288,0.0330508827419242,0.135105975747529
"5",1989,10,2008,10,10025,20,0.0824098778353903,0.0822316840578784,0.00019415987065206
"6",1990,10,2009,10,10025,20,0.169940944683209,0.169637144698538,0.000365864131242312
"7",1991,10,2010,10,10025,20,0.16607571365627,0.165993593078578,0.0000984651640677264
"8",1992,10,2011,10,10025,20,0.175250710543039,0.17501021739066,0.000291510461642421
"9",1993,10,2012,10,10025,20,0.193221702311232,0.193199697008005,0.0000272747830466802
"10",1994,10,2013,10,10025,20,0.19183813981356,0.191615601957033,0.000275287174103759
"11",1995,10,2014,10,10025,20,0.186755128337636,0.176458912972548,0.0125023699816263
"12",1987,9,2006,9,10026,20,0.486003198313585,0.472119892199297,0.0263001122965782
"13",1988,9,2007,9,10026,20,0.494177696977177,0.472983909399214,0.0402146878547901
"14",1989,9,2008,9,10026,20,0.469970454612975,0.441464999609255,0.0510361123005327
"15",1990,9,2009,9,10026,20,0.430378701232467,0.416395907153391,0.0239593831682587
"16",1991,9,2010,9,10026,20,0.364107891625565,0.342723761602361,0.0325344638585086
"17",1992,9,2011,9,10026,20,0.359305315140134,0.314041376546386,0.0659863977886249
"18",1993,9,2012,9,10026,20,0.398158610201065,0.271158741953862,0.174249010803343
"19",1994,9,2013,9,10026,20,0.44273617423201,0.191514774841918,0.310730971417531
"20",1995,9,2014,9,10026,20,0.311600402585255,0.231158322052155,0.104627627300087
"21",1996,9,2015,9,10026,20,0.269848998748479,0.182783435017802,0.106539156768774
"22",1997,9,2016,9,10026,20,0.262674634815785,0.184303467928,0.0960788281013161
"23",1992,12,2011,12,10028,20,0.101706800259567,0.0164152460417814,0.0867150023163213
"24",1993,12,2012,12,10028,20,0.112481403186128,0.0249784121271571,0.0897446704230125
"25",1994,12,2013,12,10028,20,0.0755450763557223,0.0148300140846146,0.0616290215283947
"26",1995,12,2014,12,10028,20,0.0662816333744692,0.0142167025530358,0.0528157973017741
"27",1996,12,2015,12,10028,20,0.0442159346798128,0.00430344637286534,0.040084991920032
"28",1997,12,2016,12,10028,20,0.0474765559215469,0.00723440157541261,0.0405354037347731
"29",1987,9,2006,9,10032,20,0.0856689688066546,0.0118153229637229,0.0747366839004532
"30",1988,9,2007,9,10032,20,0.104592345347988,0.00122091982200733,0.103497788026916
"31",1989,9,2008,9,10032,20,0.14463524442899,0.00240522136407089,0.142572942552284
"32",1990,9,2009,9,10032,20,0.145053504579838,0.00000802362849101069,0.145046644751738
"33",1991,9,2010,9,10032,20,0.168172355298629,0.00160426169239329,0.166835741795721
"34",1992,9,2011,9,10032,20,0.252738491991553,0.00770033851302002,0.246939672549458
"35",1993,9,2012,9,10032,20,0.265267390733594,0.00662755448044864,0.260365422274092
"36",1994,9,2013,9,10032,20,0.244966724651492,0.0107073519218859,0.236794818181151
"37",1995,9,2014,9,10032,20,0.290820530414553,0.0135835057569967,0.281054733244616
"38",1996,9,2015,9,10032,20,0.333380992293155,0.0141277599714315,0.323828199394753
"39",1997,9,2016,9,10032,20,0.326301537610615,0.0174358793107933,0.314346567105637
"40",1987,2,2006,2,10044,20,0.0655881981239241,0.0402294896247422,0.0264216374904736
"41",1994,2,2013,2,10044,20,0.241504849407882,0.240037157872793,0.00193126749589513
"42",1995,2,2014,2,10044,20,0.194966239278576,0.174651262631834,0.0246138095655445
"43",1996,2,2015,2,10044,20,0.184071178868754,0.161807631543092,0.0265613815676335
"44",1997,2,2016,2,10044,20,0.243296917457818,0.168888372722041,0.0895289420742176
"45",1989,12,2008,12,10051,20,0.0432174778035789,0.0397252173243396,0.00363673038409757
"46",1990,12,2009,12,10051,20,0.257292118809148,0.226158961494808,0.0402319801680189
"47",1991,12,2010,12,10051,20,0.2227481394965,0.218687399951479,0.0051973301656328
"48",1992,12,2011,12,10051,20,0.226925127464761,0.222826178647935,0.00527417252641792
"49",1993,12,2012,12,10051,20,0.197212143234734,0.191986990433058,0.0064666691498898
"50",1994,12,2013,12,10051,20,0.238421758284549,0.238411950264779,0.0000128783792941469
"51",1995,12,2014,12,10051,20,0.21676145026834,0.208974089836956,0.00984463382467327
"52",1969,9,1988,9,10057,20,0.00776556844972115,0.00510517581458931,0.00267404410040035
"53",1970,9,1989,9,10057,20,0.0153162735430326,0.0135404867605907,0.00180016185014066
"54",1971,9,1990,9,10057,20,0.00560212816138634,0.00556998053356534,0.0000323276924385708
"55",1972,9,1991,9,10057,20,0.0121997268414086,0.00633335392862372,0.00590376353677418
"56",1973,9,1992,9,10057,20,0.00995908611646066,0.000943921989286527,0.0090236817788295
"57",1974,9,1993,9,10057,20,0.0165368605236958,0.00114275155626264,0.0154117207352881
"58",1975,9,1994,9,10057,20,0.00348143179916861,0.0000370425396667211,0.00344451685315405
"59",1987,6,2006,6,10078,20,0.0917278461223879,0.0295728058019389,0.064049153498643
"60",1988,6,2007,6,10078,20,0.0671295396449211,0.0171823695641588,0.0508203847122814
"61",1989,6,2008,6,10078,20,0.0848596575154519,0.00781701449349779,0.0776496313153611
"62",1987,12,2006,12,10092,20,0.205576645661449,0.0528949638086878,0.161208816359752
"63",1988,12,2007,12,10092,20,0.191960542236131,0.0536210610348596,0.146177683700934
"64",1989,12,2008,12,10092,20,0.118593155502366,0.0303198629901685,0.0910334131256961
"65",1988,3,2007,3,10100,20,0.558341757048656,0.517685060382571,0.0842949146429795
"66",1989,3,2008,3,10100,20,0.682695912999012,0.651519632095053,0.0894635215504074
